id,name,institutions,publications_count,citation_count
https://openalex.org/A5028025708,Katerina Mangaroska,"['https://openalex.org/I2801380234', 'https://openalex.org/I204778367', 'https://openalex.org/I56590836']",36,867
https://openalex.org/A5076471819,Tia C. Madkins,"['https://openalex.org/I86519309', 'https://openalex.org/I1282070171', 'https://openalex.org/I43522216', 'https://openalex.org/I204250578', 'https://openalex.org/I107639228', 'https://openalex.org/I95457486']",26,578
https://openalex.org/A5063813962,Andrew Lan,"['https://openalex.org/I24603500', 'https://openalex.org/I177605424', 'https://openalex.org/I1306409833', 'https://openalex.org/I4210151508', 'https://openalex.org/I74775410', 'https://openalex.org/I3132238960', 'https://openalex.org/I4210121626', 'https://openalex.org/I20089843']",180,1673
https://openalex.org/A5073233368,Linda Vibeke Kiønig,"['https://openalex.org/I4210116649', 'https://openalex.org/I76245029']",42,163
https://openalex.org/A5087795875,Boban Vesin,"['https://openalex.org/I204778367', 'https://openalex.org/I2801380234', 'https://openalex.org/I145423581', 'https://openalex.org/I66862912', 'https://openalex.org/I881427289', 'https://openalex.org/I170726198']",73,1651
https://openalex.org/A5006962369,Shuchi Grover,"['https://openalex.org/I4210105622', 'https://openalex.org/I200719446', 'https://openalex.org/I164861460', 'https://openalex.org/I76414455', 'https://openalex.org/I4210160740', 'https://openalex.org/I13811531', 'https://openalex.org/I110383171', 'https://openalex.org/I39422238', 'https://openalex.org/I103531236', 'https://openalex.org/I63190737']",109,4589
https://openalex.org/A5031564691,Steve Hodges,"['https://openalex.org/I67415387', 'https://openalex.org/I1282516798', 'https://openalex.org/I4210164937', 'https://openalex.org/I4210108625', 'https://openalex.org/I1290206253', 'https://openalex.org/I4210105678', 'https://openalex.org/I84884186', 'https://openalex.org/I4210123431', 'https://openalex.org/I74973139', 'https://openalex.org/I62318514']",190,12769
https://openalex.org/A5076869143,Ismaila Temitayo Sanusi,"['https://openalex.org/I175532246', 'https://openalex.org/I45438204', 'https://openalex.org/I4210107997', 'https://openalex.org/I133738476', 'https://openalex.org/I98381234', 'https://openalex.org/I4210133586', 'https://openalex.org/I133731052']",106,1585
https://openalex.org/A5112456894,Mohamed N. Rasslan,['https://openalex.org/I4210156128'],2,76
https://openalex.org/A5082136238,Gabriel Stanovsky,"['https://openalex.org/I197251160', 'https://openalex.org/I4210156221', 'https://openalex.org/I4210140341', 'https://openalex.org/I21250087', 'https://openalex.org/I63966007', 'https://openalex.org/I95457486', 'https://openalex.org/I201448701', 'https://openalex.org/I130701444', 'https://openalex.org/I24603500', 'https://openalex.org/I205783295']",122,2540
https://openalex.org/A5061456583,Catherine Mooney,"['https://openalex.org/I100930933', 'https://openalex.org/I142762351', 'https://openalex.org/I4210101467', 'https://openalex.org/I27577105', 'https://openalex.org/I37796252', 'https://openalex.org/I53276908', 'https://openalex.org/I103531236', 'https://openalex.org/I2799869770', 'https://openalex.org/I184843921', 'https://openalex.org/I2801922374']",166,4183
https://openalex.org/A5100448379,Rui Li,"['https://openalex.org/I40963666', 'https://openalex.org/I1284762954', 'https://openalex.org/I1327237609', 'https://openalex.org/I4210146956', 'https://openalex.org/I157773358', 'https://openalex.org/I191208505', 'https://openalex.org/I4210162809', 'https://openalex.org/I43922553', 'https://openalex.org/I24943067', 'https://openalex.org/I51923648']",50,1034
https://openalex.org/A5078646305,Klaus Wehrle,"['https://openalex.org/I887968799', 'https://openalex.org/I4210166245', 'https://openalex.org/I31512782', 'https://openalex.org/I4210135044', 'https://openalex.org/I141945490', 'https://openalex.org/I114027177', 'https://openalex.org/I111088046', 'https://openalex.org/I114090438', 'https://openalex.org/I4210101542', 'https://openalex.org/I143288331']",511,9624
https://openalex.org/A5034022413,Alan Peterfreund,"['https://openalex.org/I912024754', 'https://openalex.org/I110383171', 'https://openalex.org/I86519309', 'https://openalex.org/I97018004', 'https://openalex.org/I4210134959', 'https://openalex.org/I4210095427', 'https://openalex.org/I27804330', 'https://openalex.org/I175594653', 'https://openalex.org/I55732556', 'https://openalex.org/I161318765']",82,1568
https://openalex.org/A5043744271,Christos G. Massouros,"['https://openalex.org/I200777214', 'https://openalex.org/I179161674', 'https://openalex.org/I53074787', 'https://openalex.org/I454632', 'https://openalex.org/I2799393759']",25,144
https://openalex.org/A5101264371,Daniel Vargas Díaz,['https://openalex.org/I859038795'],1,27
https://openalex.org/A5072039340,Frank Hannig,"['https://openalex.org/I181369854', 'https://openalex.org/I4210160761', 'https://openalex.org/I67348948', 'https://openalex.org/I4210087817', 'https://openalex.org/I193291145', 'https://openalex.org/I90812881', 'https://openalex.org/I206945453']",269,2402
https://openalex.org/A5056354653,Zeki Can Seskir,"['https://openalex.org/I102335020', 'https://openalex.org/I201799495', 'https://openalex.org/I4210086045']",40,236
https://openalex.org/A5055625353,Gabriel Parriaux,['https://openalex.org/I4210106586'],33,62
https://openalex.org/A5083076004,Tiffany Barnes,"['https://openalex.org/I137902535', 'https://openalex.org/I4210160740', 'https://openalex.org/I200719446', 'https://openalex.org/I13811531', 'https://openalex.org/I85230861', 'https://openalex.org/I181761882', 'https://openalex.org/I2801004183', 'https://openalex.org/I84392919', 'https://openalex.org/I1925986', 'https://openalex.org/I201448701']",433,5018
https://openalex.org/A5083754306,Ulrike von Luxburg,"['https://openalex.org/I8087733', 'https://openalex.org/I4401726832', 'https://openalex.org/I4210133934', 'https://openalex.org/I143910747', 'https://openalex.org/I4210135521', 'https://openalex.org/I149899117', 'https://openalex.org/I159176309', 'https://openalex.org/I4210112925', 'https://openalex.org/I205783295', 'https://openalex.org/I4210133470']",173,15153
https://openalex.org/A5048776006,Julie Walters,"['https://openalex.org/I32394136', 'https://openalex.org/I3130035786', 'https://openalex.org/I177721651']",12,219
https://openalex.org/A5101730130,Boyan Zhang,"['https://openalex.org/I183519381', 'https://openalex.org/I52158045', 'https://openalex.org/I17145004', 'https://openalex.org/I96852419', 'https://openalex.org/I173899330', 'https://openalex.org/I2801441622', 'https://openalex.org/I134052481', 'https://openalex.org/I76130692', 'https://openalex.org/I4391767812', 'https://openalex.org/I4210142748']",244,832
https://openalex.org/A5069762894,Wil M. P. van der Aalst,"['https://openalex.org/I887968799', 'https://openalex.org/I160993911', 'https://openalex.org/I83019370', 'https://openalex.org/I108290504', 'https://openalex.org/I4210110507', 'https://openalex.org/I4210136643', 'https://openalex.org/I99977706', 'https://openalex.org/I142444530', 'https://openalex.org/I176601375', 'https://openalex.org/I189158943']",1687,94603
https://openalex.org/A5067347321,Bernadette Spieler,"['https://openalex.org/I4210111868', 'https://openalex.org/I155765044', 'https://openalex.org/I4092182', 'https://openalex.org/I4210128818']",73,230
https://openalex.org/A5048619348,Hassan Rajaei,"['https://openalex.org/I157417397', 'https://openalex.org/I223532165', 'https://openalex.org/I86987016', 'https://openalex.org/I23946033']",49,421
https://openalex.org/A5026501367,Matthias Jarke,"['https://openalex.org/I887968799', 'https://openalex.org/I4210110507', 'https://openalex.org/I4210145899', 'https://openalex.org/I4210126395', 'https://openalex.org/I74413500', 'https://openalex.org/I4210113269', 'https://openalex.org/I98358874', 'https://openalex.org/I4923324', 'https://openalex.org/I161104310', 'https://openalex.org/I4210134436']",747,15324
https://openalex.org/A5032573557,Taha Basheer Taha,"['https://openalex.org/I65079550', 'https://openalex.org/I908820301', 'https://openalex.org/I4210142152']",16,83
https://openalex.org/A5019574100,Abdul Majeed,"['https://openalex.org/I12832649', 'https://openalex.org/I4210117092', 'https://openalex.org/I24456540', 'https://openalex.org/I102913810', 'https://openalex.org/I76571253', 'https://openalex.org/I4210105419', 'https://openalex.org/I869660684']",93,1203
https://openalex.org/A5073089220,Ioannis Karvelas,['https://openalex.org/I100930933'],16,79
https://openalex.org/A5045021604,E.O Adebayo,['https://openalex.org/I4210097403'],4,23
